win_start,S,Tajima's D,median_PRF,q025_PRF,q975_PRF
1410000,10244,-0.38778321261169085,0.30000000000000004,0.2,0.4
1420000,10618,-0.40612321901105575,0.30000000000000004,0.2,0.4
1430000,10165,-0.4127787457164279,0.30000000000000004,0.2,0.4
1440000,9695,-0.3791674091029016,0.30000000000000004,0.2,0.4
1450000,9398,-0.36909798272118627,0.2,0.2,0.30000000000000004
1460000,9266,-0.35773087002263143,0.2,0.1,0.30000000000000004
1470000,8343,-0.3396526592176057,0.2,0.2,0.30000000000000004
1480000,7223,-0.36885756098302563,0.2,0.2,0.30000000000000004
1490000,6003,-0.3461639770423089,0.2,0.1,0.30000000000000004
1500000,4669,-0.30637224923036516,0.2,0.1,0.30000000000000004
1510000,3913,-0.2705449143537315,0.2,0.1,0.30000000000000004
1520000,3481,-0.2613543864525913,0.2,0.1,0.2
1530000,4141,-0.3656797872418578,0.2,0.1,0.30000000000000004
1540000,5341,-0.41131466442064335,0.30000000000000004,0.2,0.4
1550000,6619,-0.4007914865186703,0.30000000000000004,0.30000000000000004,0.4
1560000,6849,-0.5704493192237338,0.5,0.4,0.6000000000000001
1570000,7527,-0.5228937851227179,0.4,0.4,0.5
1580000,8672,-0.4922369459432763,0.4,0.4,0.5
1590000,8940,-0.4900358536838772,0.4,0.4,0.5
1600000,9597,-0.5518978375849284,0.4,0.4,0.6000000000000001
1610000,9650,-0.5728221460898794,0.5,0.4,0.6000000000000001
1620000,9341,-0.5967303260945035,0.5,0.4,0.6000000000000001
1630000,9610,-0.5365965813712155,0.5,0.4,0.6000000000000001
1640000,9312,-0.4945180542734799,0.4,0.30000000000000004,0.6000000000000001
1650000,9432,-0.5268608652860515,0.4,0.4,0.6000000000000001
1660000,9070,-0.4334110906158153,0.30000000000000004,0.30000000000000004,0.4
1670000,8530,-0.47329846337410303,0.4,0.30000000000000004,0.4
1680000,7385,-0.5016095360341022,0.4,0.30000000000000004,0.5
1690000,7295,-0.5105332744384259,0.4,0.4,0.5
1700000,7149,-0.42914738525806445,0.30000000000000004,0.30000000000000004,0.4
1710000,6818,-0.38990436023046604,0.30000000000000004,0.2,0.4
1720000,7572,-0.3573201071888229,0.2,0.2,0.4
1730000,7020,-0.3560711981055516,0.2,0.2,0.4
1740000,7289,-0.370714232561656,0.2,0.2,0.4
1750000,7033,-0.35139908083920174,0.2,0.1669448493722112,0.30000000000000004
1760000,7460,-0.37142258968270075,0.30000000000000004,0.2,0.30000000000000004
1770000,7649,-0.3661988052404596,0.30000000000000004,0.2,0.30000000000000004
